Source,Target,Weight
US7588768-B2,US6800288-B2,1
US7588768-B2,US6866853-B2,1
US7588768-B2,US7494808-B2,1
US8513403-B2,US8101741-B2,1
US8513403-B2,US8188263-B2,1
US9476033-B2,US6146642-A,1
US9439968-B2,EP2532649-A1,1
US9439968-B2,EP2365962-A2,1
US9439968-B2,US8450298-B2,1
US9439968-B2,US8969353-B2,1
EP1832603-A2,EP1083232-B1,1
US9024001-B2,US6426196-B1,1
US7341729-B2,US6764685-B1,1
US7341729-B2,US6811784-B2,1
US7341729-B2,US5869036-A,1
WO2014108515-A1,WO2005113782-A1,1
US10307472-B2,EP1604688-A1,1
US10307472-B2,US8968746-B2,1
US10307472-B2,US9155788-B2,1
US10307472-B2,WO2008083174-A3,1
US10155031-B2,WO2010066418-A1,1
US10155031-B2,WO2007025760-A2,1
US10155031-B2,WO2012159754-A3,1
US7049428-B1,US5610054-A,1
US7049428-B1,US5874565-A,1
US7049428-B1,US6153421-A,1
US7049428-B1,US6630343-B1,1
US7307066-B2,US6153421-A,1
US7547442-B2,EP780475-A1,1
US7547442-B2,US6033886-A,1
US7547442-B2,US6146642-A,1
US10119124-B2,AU2012204138-B2,1
US10119124-B2,CN1826407-B,1
US10119124-B2,US5716821-A,1
US10119124-B2,US5840520-A,1
US10119124-B2,US6033886-A,1
US10119124-B2,US6146642-A,1
US10119124-B2,US6169175-B1,1
US10119124-B2,US6544785-B1,1
US10119124-B2,US6951754-B2,1
US10119124-B2,US7312064-B2,1
US10119124-B2,US7507411-B2,1
US10119124-B2,US7566458-B2,1
US10119124-B2,US7993924-B2,1
US10119124-B2,US8057806-B2,1
US10119124-B2,US8093033-B2,1
US10119124-B2,US8475806-B2,1
US10119124-B2,US8574593-B2,1
US10119124-B2,US8591914-B2,1
US10119124-B2,US9254318-B2,1
US10119124-B2,US9474798-B2,1
US10119124-B2,WO2007126810-A2,1
US10119124-B2,WO2004112831-A3,1
US10119124-B2,WO2007126810-A3,1
US10119124-B2,WO2008156778-A3,1
US10383937-B2,EP2548960-A1,1
US10383937-B2,EP1905844-A2,1
US10383937-B2,US6500419-B1,1
US10383937-B2,US7410795-B2,1
US10383937-B2,US8425898-B2,1
US10383937-B2,US8673317-B2,1
US10383937-B2,US8999380-B2,1
US10383937-B2,US9512456-B2,1
US10383937-B2,US9764026-B2,1
US10383937-B2,US9868691-B2,1
