,SourcePatent,CitedPatent
309,US11767515-B2,US8501476-B2
310,US11767515-B2,US8586357-B2
311,US11767515-B2,US8603809-B2
312,US11767515-B2,US8609406-B2
313,US11767515-B2,US8609413-B2
314,US11767515-B2,US8623645-B2
315,US11767515-B2,US8632645-B2
316,US11767515-B2,US8633024-B2
317,US11767515-B2,US8642339-B2
318,US11767515-B2,US8647873-B2
319,US11767515-B2,US8658151-B2
320,US11767515-B2,US8685386-B2
321,US11767515-B2,US8685730-B2
322,US11767515-B2,US8758323-B2
323,US11767515-B2,US9127254-B2
324,US11767515-B2,US9133439-B2
325,US11767515-B2,US9181301-B2
326,US11767515-B2,US9200258-B2
327,US11767515-B2,US9206393-B2
328,US11767515-B2,US9234170-B2
329,US11767515-B2,US9334479-B2
330,US11767515-B2,US9375514-B2
331,US11767515-B2,US9381181-B2
332,US11767515-B2,US9394522-B2
333,US11767515-B2,US9446076-B2
334,US11767515-B2,US9447380-B2
335,US11767515-B2,US9476030-B2
336,US11767515-B2,US9499795-B2
337,US11767515-B2,US9605243-B2
338,US11767515-B2,US9616039-B2
339,US11767515-B2,US9618500-B2
340,US11767515-B2,US9650609-B2
341,US11767515-B2,US9675646-B2
342,US11767515-B2,US9677085-B2
343,US11767515-B2,US9719067-B2
344,US11767515-B2,US9719068-B2
345,US11767515-B2,US9732116-B2
346,US11767515-B2,US9752124-B2
347,US11767515-B2,US9763964-B2
348,US11767515-B2,US9765301-B2
349,US11767515-B2,US9771562-B2
350,US11767515-B2,US9790470-B2
351,US11767515-B2,US9828583-B2
352,US11767515-B2,US9849104-B2
353,US11767515-B2,US9850461-B2
354,US11767515-B2,US9856458-B2
355,US11767515-B2,US9878005-B2
356,US11767515-B2,US9914920-B2
357,US11767515-B2,US9926532-B2
358,US11767515-B2,US9938499-B2
359,US11767515-B2,US10000740-B2
360,US11767515-B2,US10023922-B2
361,US11767515-B2,US10045977-B2
362,US11767515-B2,US10047341-B2
363,US11767515-B2,US10052337-B2
364,US11767515-B2,US10087416-B2
365,US11767515-B2,US10087417-B2
366,US11767515-B2,US10100279-B2
367,US11767515-B2,US10130748-B2
368,US11767515-B2,US10172889-B2
369,US11767515-B2,US10174289-B2
370,US11767515-B2,US10179176-B2
371,US11767515-B2,US10220386-B2
372,US11767515-B2,US10222370-B2
373,US11767515-B2,US10260039-B2
374,US11767515-B2,US10265153-B2
375,US11767515-B2,US10265453-B2
376,US11767515-B2,US10301303-B2
377,US11767515-B2,US10350147-B2
378,US11767515-B2,US10369254-B2
379,US11767515-B2,US10407664-B2
380,US11767515-B2,US10426757-B2
381,US11767515-B2,US10449221-B2
382,US11767515-B2,US10472612-B2
383,US11767515-B2,US10479977-B2
384,US11767515-B2,US10487314-B2
385,US11767515-B2,US10532111-B2
386,US11767515-B2,US10538741-B2
387,US11767515-B2,US10545133-B2
388,US11767515-B2,US10555929-B2
389,US11767515-B2,US10668108-B2
390,US11767515-B2,US10781425-B2
391,US11767515-B2,US11053477-B2
392,US11767515-B2,US11066650-B2
393,US11767515-B2,WO1992007615-A1
394,US11767515-B2,WO1998021312-A1
395,US11767515-B2,WO2005001072-A1
396,US11767515-B2,WO2006126236-A1
397,US11767515-B2,WO2009086596-A1
398,US11767515-B2,WO2010094694-A1
399,US11767515-B2,WO2010127399-A1
400,US11767515-B2,WO2010143747-A1
401,US11767515-B2,WO2011050672-A1
402,US11767515-B2,WO2011116930-A1
403,US11767515-B2,WO2011139628-A1
404,US11767515-B2,WO2012027474-A1
405,US11767515-B2,WO2012089669-A1
406,US11767515-B2,WO2012154834-A1
407,US11767515-B2,WO2012155110-A1
408,US11767515-B2,WO2012166903-A1
409,US11767515-B2,WO2012178215-A1
410,US11767515-B2,WO2013067498-A1
411,US11767515-B2,WO2013086486-A1
412,US11767515-B2,WO2013086502-A1
413,US11767515-B2,WO2013127921-A1
414,US11767515-B2,WO2013155060-A1
415,US11767515-B2,WO2013174794-A1
416,US11767515-B2,WO2013192290-A1
417,US11767515-B2,WO2014018691-A1
418,US11767515-B2,WO2014048637-A1
419,US11767515-B2,WO2014053596-A1
420,US11767515-B2,WO2014062138-A1
421,US11767515-B2,WO2014082096-A1
422,US11767515-B2,WO2014090993-A1
423,US11767515-B2,WO2014127170-A1
424,US11767515-B2,WO2014151921-A1
425,US11767515-B2,WO2014153230-A1
426,US11767515-B2,WO2014153294-A1
427,US11767515-B2,WO2014159356-A1
428,US11767515-B2,WO2014173907-A1
429,US11767515-B2,WO2014197934-A1
430,US11767515-B2,WO2014199622-A1
431,US11767515-B2,WO2015060790-A1
432,US11767515-B2,WO2015075175-A1
433,US11767515-B2,WO2015076388-A1
434,US11767515-B2,WO2015108893-A1
435,US11767515-B2,WO2015123183-A1
436,US11767515-B2,WO2015129822-A1
437,US11767515-B2,WO2015130919-A1
438,US11767515-B2,WO2015135893-A1
439,US11767515-B2,WO2015152954-A1
440,US11767515-B2,WO2015156929-A1
441,US11767515-B2,WO2015157163-A1
442,US11767515-B2,WO2015168022-A1
443,US11767515-B2,WO2015173425-A1
444,US11767515-B2,WO2015184273-A1
445,US11767515-B2,WO2015185714-A1
446,US11767515-B2,WO2015196012-A1
447,US11767515-B2,WO2015200901-A1
448,US11767515-B2,WO2016011377-A1
449,US11767515-B2,WO2016015158-A1
450,US11767515-B2,WO2016030525-A1
451,US11767515-B2,WO2016033163-A1
452,US11767515-B2,WO2016056999-A1
453,US11767515-B2,WO2016057571-A1
454,US11767515-B2,WO2016061464-A1
455,US11767515-B2,WO2016083612-A1
456,US11767515-B2,WO2016085765-A1
457,US11767515-B2,WO2016094948-A1
458,US11767515-B2,WO2016103002-A1
459,US11767515-B2,WO2016103269-A1
460,US11767515-B2,WO2016121512-A1
461,US11767515-B2,WO2016140716-A1
462,US11767515-B2,WO2016141137-A1
463,US11767515-B2,WO2016144769-A1
464,US11767515-B2,WO2016164413-A1
465,US11767515-B2,WO2016168950-A1
466,US11767515-B2,WO2016174604-A1
467,US11767515-B2,WO2016176208-A1
468,US11767515-B2,WO2016183143-A1
469,US11767515-B2,WO2016207621-A1
470,US11767515-B2,WO2016210313-A1
471,US11767515-B2,WO2017009263-A1
472,US11767515-B2,WO2017036533-A1
473,US11767515-B2,WO2017037295-A1
474,US11767515-B2,WO2017041041-A1
475,US11767515-B2,WO2017048193-A1
476,US11767515-B2,WO2017048322-A1
477,US11767515-B2,WO2017049243-A1
478,US11767515-B2,WO2017059171-A1
479,US11767515-B2,WO2017060884-A1
480,US11767515-B2,WO2017066507-A1
481,US11767515-B2,WO2017066659-A1
482,US11767515-B2,WO2017070224-A1
483,US11767515-B2,WO2017070337-A1
484,US11767515-B2,WO2017070471-A1
485,US11767515-B2,WO2017070506-A1
486,US11767515-B2,WO2017075389-A1
487,US11767515-B2,WO2017077535-A1
488,US11767515-B2,WO2017079632-A1
489,US11767515-B2,WO2017083705-A1
490,US11767515-B2,WO2017096192-A1
491,US11767515-B2,WO2017112901-A1
492,US11767515-B2,WO2017115982-A1
493,US11767515-B2,WO2017117333-A1
494,US11767515-B2,WO2017117547-A1
495,US11767515-B2,WO2017117571-A1
496,US11767515-B2,WO2017120543-A1
497,US11767515-B2,WO2017121754-A1
498,US11767515-B2,WO2017123791-A1
499,US11767515-B2,WO2017136479-A1
500,US11767515-B2,WO2017139455-A1
501,US11767515-B2,WO2017139638-A1
502,US11767515-B2,WO2017142069-A1
503,US11767515-B2,WO2017143100-A1
504,US11767515-B2,WO2017149025-A1
505,US11767515-B2,WO2017153992-A1
506,US11767515-B2,WO2017160234-A1
507,US11767515-B2,WO2017160671-A1
508,US11767515-B2,WO2017172638-A1
509,US11767515-B2,WO2017174609-A1
510,US11767515-B2,WO2017175876-A1
511,US11767515-B2,WO2017176810-A1
512,US11767515-B2,WO2017184586-A1
513,US11767515-B2,WO2017192997-A1
514,US11767515-B2,WO2017205511-A1
515,US11767515-B2,WO2017218287-A1
516,US11767515-B2,WO2017220586-A1
517,US11767515-B2,WO2018011558-A1
518,US11767515-B2,WO2018019704-A1
519,US11767515-B2,WO2018026947-A1
520,US11767515-B2,WO2018027023-A1
521,US11767515-B2,WO2018027112-A1
522,US11767515-B2,WO2018035574-A1
523,US11767515-B2,WO2018038042-A1
524,US11767515-B2,WO2018044685-A1
525,US11767515-B2,WO2018044885-A1
526,US11767515-B2,WO2018044940-A1
527,US11767515-B2,WO2018085615-A1
528,US11767515-B2,WO2018085622-A1
529,US11767515-B2,WO2018085623-A1
530,US11767515-B2,WO2018094522-A1
531,US11767515-B2,WO2018106628-A1
532,US11767515-B2,WO2018115852-A1
533,US11767515-B2,WO2018191673-A1
534,US11767515-B2,WO2018197544-A1
535,US11767515-B2,WO2018200481-A1
536,US11767515-B2,WO2018226267-A1
537,US11767515-B2,WO2019074793-A1
538,US11767515-B2,WO2019126626-A1
539,US11767515-B2,WO2020023245-A1
540,US11767515-B2,WO2020056158-A1
541,US11767515-B2,WO2020069285-A1
542,US11767515-B2,WO1999049807-A2
543,US11767515-B2,WO2003082201-A2
544,US11767515-B2,WO2005081970-A2
545,US11767515-B2,WO2005097974-A2
546,US11767515-B2,WO2005113747-A2
547,US11767515-B2,WO2008075339-A2
548,US11767515-B2,WO2009022907-A2
549,US11767515-B2,WO2009146911-A2
550,US11767515-B2,WO2010008905-A2
551,US11767515-B2,WO2010090513-A2
552,US11767515-B2,WO2011140441-A2
553,US11767515-B2,WO2012014076-A2
554,US11767515-B2,WO2012118799-A2
555,US11767515-B2,WO2012168930-A2
556,US11767515-B2,WO2013040087-A2
557,US11767515-B2,WO2013093812-A2
558,US11767515-B2,WO2013096741-A2
559,US11767515-B2,WO2014013334-A2
560,US11767515-B2,WO2014182885-A2
561,US11767515-B2,WO2015021358-A2
562,US11767515-B2,WO2015138032-A2
563,US11767515-B2,WO2015183920-A2
564,US11767515-B2,WO2015184375-A2
565,US11767515-B2,WO2016073989-A2
566,US11767515-B2,WO2016083613-A2
567,US11767515-B2,WO2016193441-A2
568,US11767515-B2,WO2016210416-A2
569,US11767515-B2,WO2017070007-A2
570,US11767515-B2,WO2017136462-A2
571,US11767515-B2,WO2018044937-A2
572,CN110291188-A,CN1703508-A
573,CN110291188-A,US20110286985-A1
574,US2020131482-A1,US20100028849-A1
575,EP4074818-A3,US20110286985-A1
576,EP4074818-A3,WO2011039161-A1
577,CN110268056-A,CN101037669-A
578,CN110268056-A,CN101148656-A
579,CN110268056-A,CN101914484-A
580,CN110268056-A,CN103857787-A
581,CN110268056-A,CN105209605-A
582,CN110268056-A,US20160002595-A1
583,EP3545087-A4,US20140274802-A1
584,EP3545087-A4,WO2016064648-A1
585,US11492595-B2,US20150253309-A1
586,US11492595-B2,US11096388-B2
587,US11492595-B2,EP2412800-A1
588,US11492595-B2,JP2016512964-A1
589,US11492595-B2,JP2016514032-A1
590,US11492595-B2,US20140274802-A1
591,US11492595-B2,US20140289877-A1
592,US11492595-B2,WO2014098603-A1
593,US11492595-B2,WO2014127170-A1
594,US11492595-B2,WO2014153004-A1
595,US11492595-B2,WO2016064648-A1
596,US11492595-B2,WO2016161941-A1
597,US11492595-B2,WO2017048193-A1
598,WO2018091677-A1,US20120196312-A1
599,WO2018091677-A1,WO2014159356-A1
600,WO2018091677-A1,WO2016123474-A1
601,WO2018091677-A1,JP2014138605-A
602,WO2018091677-A1,US20110171712-A1
603,CN110249044-A,CN105358677-A
604,CN110249044-A,US20120196312-A1
605,CN110249044-A,WO2016123474-A1
606,US2019284517-A1,US5942443-A
607,US2019284517-A1,US20090050538-A1
608,EP3540042-A4,EP191257-A
609,EP3540042-A4,EP2165764-A1
610,EP3540042-A4,WO1993019827-A1
611,EP3540042-A4,WO2009146911-A2
612,EP3540042-A4,WO2013012188-A2
613,US11692160-B2,US5942443-A
614,US11692160-B2,US20090050538-A1
615,US11692160-B2,EP2165764-A1
616,US11692160-B2,KR2007033685-A1
617,US11692160-B2,KR2013011101-A1
618,US11692160-B2,KR2016006167-A1
619,US11692160-B2,KR2016008842-A1
620,US11692160-B2,KR2016018200-A1
621,US11692160-B2,US20020106786-A1
622,US11692160-B2,US20140141514-A1
623,US11692160-B2,US20150284668-A1
624,US11692160-B2,US20160038939-A1
625,US11692160-B2,WO2014159356-A1
626,US11692160-B2,WO2013012188-A2
627,US11692160-B2,WO2009146911-A3
628,CN110381967-A,CN103237888-A
629,CN110381967-A,EP2393917-B1
630,CN110381967-A,US20130189327-A1
631,CN110381967-A,US20160237400-A1
632,CN110381967-A,US20160312191-A1
633,CN110381967-A,WO2010094694-A1
634,CN110381967-A,WO2015183920-A2
635,EP3534919-A4,WO2011116930-A1
636,EP3534919-A4,WO2016056999-A1
637,CN110382012-A,CA2968065-A1
638,CN110382012-A,CN101600461-A
639,CN110382012-A,CN104387451-A
640,CN110382012-A,US20150290154-A1
641,CN110382012-A,WO2015185714-A1
642,CN110382012-A,WO2016164413-A1
643,CN110382012-A,WO2016176208-A1
644,US11180735-B2,US20100047853-A1
645,US11180735-B2,US20120321666-A1
646,US11180735-B2,US10704026-B2
647,US11180735-B2,US20030166274-A1
648,US11180735-B2,US20040023415-A1
649,US11180735-B2,US20040175367-A1
650,US11180735-B2,US20050256036-A1
651,US11180735-B2,US8642339-B2
652,US11180735-B2,US9464275-B2
653,US11180735-B2,WO2003023018-A2
654,US11180735-B2,WO2006136953-A2
655,US11180735-B2,WO2008088524-A2
656,US11180735-B2,WO2010090513-A2
657,CN107970435-B,CN104531611-A
658,CN107970435-B,WO2012014076-A3
659,EP3525584-A4,WO2016064648-A1
660,EP3525584-A4,WO2017059171-A1
661,US2021324311-A1,US20100159590-A1
662,EP3525584-B1,US20110287470-A1
663,EP3525584-B1,US20120089238-A1
664,EP3525584-B1,WO2016064648-A1
665,EP4253956-A3,WO2016064648-A1
666,EP4253956-A3,WO2016100227-A1
667,EP4253956-A3,WO2017059171-A1
668,US2019345439-A1,US20030088885-A1
669,US2019345439-A1,US20070087435-A1
670,US2019345439-A1,US20140154735-A1
671,EP3512935-A4,WO2013086502-A1
672,EP3512935-B1,US20140038279-A1
673,EP3512935-B1,WO2013086502-A1
674,GB2570593-B,US20120028355-A1
675,GB2570593-B,US20140038279-A1
676,GB2570593-B,WO2017136462-A2
677,WO2018050862-A1,WO2016103002-A1
678,WO2018050862-A1,WO2016141137-A1
679,WO2018050862-A1,US20110171712-A1
680,US2020010797-A1,US20170283766-A1
681,EP3515600-B1,US20110171712-A1
682,EP3515600-B1,WO2016103002-A1
683,EP3515600-B1,WO2016141137-A1
684,WO2018051283-A1,DE102014102215-A1
685,WO2018051283-A1,US20140126046-A1
686,WO2018051283-A1,US8315476-B1
687,WO2018051283-A1,WO2016071033-A1
688,WO2018051283-A1,US7936392-B2
689,WO2018051283-A1,US8717489-B2
690,WO2018051283-A1,US9134521-B2
691,CN109716199-A,DE102014102215-A1
692,CN109716199-A,US20140126046-A1
693,CN109716199-A,US8315476-B1
694,CN109716199-A,WO2016071033-A1
695,US10690898-B2,US20130286181-A1
696,US10690898-B2,US20150098126-A1
697,US10690898-B2,US20150185460-A1
698,US10690898-B2,US20160041099-A1
699,US10690898-B2,US20160153892-A1
700,US10690898-B2,US20160363752-A1
701,US10690898-B2,US20170068080-A1
702,US10690898-B2,US20170068083-A1
703,US10690898-B2,US20190212536-A1
704,US10690898-B2,US9201011-B2
705,US10690898-B2,DE102005027077-A1
706,US10690898-B2,DE102014102215-A1
707,US10690898-B2,US20140126046-A1
708,US10690898-B2,US8315476-B1
709,US10690898-B2,US7936392-B2
710,US10690898-B2,US8395696-B2
711,US10690898-B2,US8547475-B2
712,US10690898-B2,US8619177-B2
713,US10690898-B2,US8698944-B2
714,US10690898-B2,US8717489-B2
715,US10690898-B2,US9134521-B2
716,US10690898-B2,US9239454-B2
717,US10690898-B2,WO2016071033-A1
718,CN110035778-A,US6150164-A
719,CN110035778-A,US20060286078-A1
720,CN110035778-A,US20140074007-A1
721,CN110035778-A,US20150076066-A1
722,CN110035778-A,WO2015069619-A1
723,CN110035778-B,US6150164-A
724,CN110035778-B,US20060286078-A1
725,CN110035778-B,US20140074007-A1
