node,networkEfficiency_before,Connectivity_before,ClusteringCoefficient_before,networkEfficiency_after,Connectivity_after,ClusteringCoefficient_after
EP3684434-A4,0.17577097536083552,0.7374942102825383,0.23677907655423994,0.17576512867959165,0.7373784159333024,0.23681659910114924
CN111201047-B,0.17577097536083552,0.7374942102825383,0.23677907655423994,0.17576502180260678,0.7373784159333024,0.23681659910114924
EP3684915-A4,0.17577097536083552,0.7374942102825383,0.23677907655423994,0.17561393916757373,0.7373784159333024,0.23681659910114924
CN110914408-A,0.17577097536083552,0.7374942102825383,0.23677907655423994,0.17574767562525817,0.7373784159333024,0.23679528718442278
US2020199537-A1,0.17577097536083552,0.7374942102825383,0.23677907655423994,0.17576520513774235,0.7373784159333024,0.23686894415977575
US11859212-B2,0.17577097536083552,0.7374942102825383,0.23677907655423994,0.17524660068230066,0.7373784159333024,0.23695643518633713
WO2016141234-A1,0.17577097536083552,0.7374942102825383,0.23677907655423994,0.17577568976107144,0.7373784159333024,0.23681625919817118
US20150253309-A1,0.17577097536083552,0.7374942102825383,0.23677907655423994,0.17572648015993947,0.7373784159333024,0.23681625919817118
US2019376044-A1,0.17577097536083552,0.7374942102825383,0.23677907655423994,0.17578043699150886,0.7373784159333024,0.23681625919817118
US11492595-B2,0.17577097536083552,0.7374942102825383,0.23677907655423994,0.17531345901708995,0.7373784159333024,0.23683164547297958
US9988606-B2,0.17577097536083552,0.7374942102825383,0.23677907655423994,0.17577549834165085,0.7373784159333024,0.23681625919817118
US10590392-B2,0.17577097536083552,0.7374942102825383,0.23677907655423994,0.1756134508041944,0.7373784159333024,0.23689477678611087
US11739299-B2,0.17577097536083552,0.7374942102825383,0.23677907655423994,0.175566558228126,0.7373784159333024,0.23689477678611087
US20110212067-A1,0.17577097536083552,0.7374942102825383,0.23677907655423994,0.1757757466251081,0.7373784159333024,0.23681625919817118
US20160312190-A1,0.17577097536083552,0.7374942102825383,0.23677907655423994,0.1757500463831392,0.7373784159333024,0.23673775914714024
US20160312191-A1,0.17577097536083552,0.7374942102825383,0.23677907655423994,0.1757498131525034,0.7373784159333024,0.23676580114283302
CN110381967-A,0.17577097536083552,0.7374942102825383,0.23677907655423994,0.1757589457463658,0.7373784159333024,0.23695027771315705
US20150276719-A2,0.17577097536083552,0.7374942102825383,0.23677907655423994,0.17576126296608963,0.7373784159333024,0.23681631306167963
US11591572-B2,0.17577097536083552,0.7374942102825383,0.23677907655423994,0.17568228118749232,0.7373784159333024,0.23755819483125937
US11725184-B2,0.17577097536083552,0.7374942102825383,0.23677907655423994,0.17543790063731043,0.7373784159333024,0.23745294119362143
WO1994012649-A2,0.17577097536083552,0.7374942102825383,0.23677907655423994,0.1757757466251081,0.7373784159333024,0.23681625919817118
WO2008098184-A2,0.17577097536083552,0.7374942102825383,0.23677907655423994,0.1757757466251081,0.7373784159333024,0.23681625919817118
WO2008008229-A2,0.17577097536083552,0.7374942102825383,0.23677907655423994,0.17575286179091357,0.7373784159333024,0.23681625919817118
