Source,Target,Weight
US5690937-A,US8574593-B2,1
WO2016135675-A1,US10022436-B2,1
US6699476-B1,US7709007-B2,1
US6699476-B1,US7662397-B2,1
US6699476-B1,US7704509-B2,1
US6699476-B1,US7192593-B2,1
US6699476-B1,US6921535-B2,1
US6500419-B1,US10695419-B2,1
US6500419-B1,US10064934-B2,1
US6500419-B1,US10124055-B2,1
US6500419-B1,US10383937-B2,1
US6500419-B1,US10933127-B2,1
US6500419-B1,US11207398-B2,1
US6500419-B1,US10064935-B2,1
US6500419-B1,US10716846-B2,1
US6500419-B1,US11484590-B2,1
US6500419-B1,US10493143-B2,1
US6500419-B1,US10925958-B2,1
US6500419-B1,US10272150-B2,1
US6500419-B1,US10702599-B2,1
US6500419-B1,US11406703-B2,1
US6500419-B1,US11103578-B2,1
US6500419-B1,US11497807-B2,1
US6500419-B1,US9872900-B2,1
US6500419-B1,US10022435-B2,1
US6500419-B1,US10709779-B2,1
US6500419-B1,US8999380-B2,1
US6500419-B1,US10273269-B2,1
US6500419-B1,US10449244-B2,1
US6500419-B1,US11364292-B2,1
WO2008073148-A3,US8066984-B2,1
WO2008073148-A3,US9005602-B2,1
WO2008073148-A3,US9944903-B2,1
EP2338510-A1,US10022436-B2,1
WO2008153541-A1,US11458209-B2,1
WO2008153541-A1,US11534497-B2,1
WO2008153541-A1,US11141377-B2,1
US8969353-B2,US9238716-B2,1
US8969353-B2,US9556110-B2,1
US8969353-B2,US10189802-B2,1
US8969353-B2,US10117934-B2,1
US8969353-B2,US9439968-B2,1
US8969353-B2,US10201618-B2,1
US8969353-B2,US9512073-B2,1
US8969353-B2,US10086013-B2,1
US7105574-B1,US7537768-B2,1
US7105574-B1,US7785603-B2,1
US7105574-B1,US8128938-B1,1
US6630343-B1,US7935676-B2,1
US6630343-B1,US7659103-B2,1
US6630343-B1,US7049428-B1,1
US6630343-B1,US7338759-B1,1
US10266485-B2,US11497807-B2,1
US10266485-B2,US11241493-B2,1
US7744900-B2,US10022436-B2,1
US9623095-B2,US10064934-B2,1
US9623095-B2,US10933127-B2,1
US9623095-B2,US10272150-B2,1
US9623095-B2,US10702599-B2,1
US9623095-B2,US11103578-B2,1
EP1604688-A1,US9155788-B2,1
EP1604688-A1,US9433669-B2,1
EP1604688-A1,US9433670-B2,1
EP1604688-A1,US9439956-B2,1
EP1604688-A1,US10307472-B2,1
EP1604688-A1,US10117920-B2,1
EP1604688-A1,US10434158-B2,1
EP1604688-A1,US9352028-B2,1
EP1604688-A1,US10022436-B2,1
US7507411-B2,US9254318-B2,1
US7507411-B2,US10633422-B2,1
US7507411-B2,US9890363-B2,1
US7507411-B2,US10246686-B2,1
US7507411-B2,US10119124-B2,1
US7507411-B2,US10130697-B2,1
US8093033-B2,US10633422-B2,1
US8093033-B2,US9890363-B2,1
US8093033-B2,US10246686-B2,1
US8093033-B2,US10119124-B2,1
US8093033-B2,US10130697-B2,1
