Source,Target,Weight
US8158601-B2,US10022435-B2,1
US8158601-B2,US10709779-B2,1
US10130688-B2,US10624956-B2,1
US10130688-B2,US10624957-B2,1
US10130688-B2,US10786556-B2,1
US8969353-B2,US9556110-B2,1
US8969353-B2,US10189802-B2,1
US8936910-B2,US10487149-B2,1
US8936910-B2,US10550188-B2,1
US8936910-B2,US10787519-B2,1
US8936910-B2,US10800848-B2,1
EP2365962-A2,US8969353-B2,1
US8450298-B2,US8969353-B2,1
US8450298-B2,US9556110-B2,1
US8450298-B2,US10189802-B2,1
WO2011079070-A1,US9132146-B2,1
US10729688-B2,US11198693-B2,1
US10723733-B2,US11198693-B2,1
US10428070-B2,US11198693-B2,1
US10428070-B2,US10729688-B2,1
US10428070-B2,US11058678-B2,1
US10428070-B2,US10723733-B2,1
US10428070-B2,US10952978-B2,1
US10189846-B2,US11198693-B2,1
US10189846-B2,US10729688-B2,1
US10189846-B2,US11058678-B2,1
US10189846-B2,US10723733-B2,1
US10189846-B2,US10428070-B2,1
US10189846-B2,US10952978-B2,1
US10179131-B2,US11198693-B2,1
US10179131-B2,US10729688-B2,1
US10179131-B2,US11058678-B2,1
US10179131-B2,US10723733-B2,1
US10179131-B2,US10952978-B2,1
WO2006004648-A1,WO2011015347-A1,1
WO2006004648-A1,US9295717-B2,1
WO2006004648-A1,EP2010659-A2,1
EP3027203-B1,EP3027203-B1,1
US7232680-B2,US7618797-B2,1
US7232680-B2,US7691389-B2,1
US7232680-B2,US8492132-B2,1
US7232680-B2,US8895025-B2,1
US9636332-B2,US9931330-B2,1
US7704720-B2,US11103578-B2,1
US7704720-B2,US10272150-B2,1
US7704720-B2,US10702599-B2,1
US7704720-B2,US11872278-B2,1
US7704720-B2,US10064934-B2,1
US7704720-B2,US10933127-B2,1
US7098253-B2,US7674836-B2,1
US7098253-B2,US7674835-B2,1
US7098253-B2,US7683100-B2,1
US7098253-B2,US7582684-B2,1
EP2532649-A1,US9556110-B2,1
EP2532649-A1,US10189802-B2,1
US10179792-B2,US11198693-B2,1
US10179792-B2,US10952978-B2,1
US6849272-B1,US10487149-B2,1
US6849272-B1,US10550188-B2,1
US6849272-B1,US10787519-B2,1
US6849272-B1,US10800848-B2,1
US8093367-B2,US11407800-B2,1
US6867290-B2,US7244568-B2,1
WO2005121369-A3,US9186405-B2,1
US6951754-B2,US8093033-B2,1
US6951754-B2,WO2005062820-A3,1
US6951754-B2,US7312064-B2,1
US6669943-B1,US7588768-B2,1
KR784485-B1,KR968591-B1,1
WO2007075508-A2,US7674836-B2,1
